コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト,背景画像,BGM,SE
draw,,辰己,通常,制服,中央,膝上,,町,,
send,,,,,,,詰所にやって来た沙夜は火事の日に\n出会った纏持ちの辰己と再会を\n果たす。,町,,
draw,,辰己,通常,制服,中央,膝上,,町,,
send,,,,,,,しかし再会早々言い合い合いになる\n2人。,町,,
draw,,辰己,通常,制服,左,膝上,,町,,
draw,,酉助,通常,制服,右,膝上,,町,,
send,,,,,,,それを見た酉助は辰己に詰所の案内\nをさせる。,町,,
draw,,酉助,通常,制服,右,膝上,,町,,
send,,辰己,怒,制服,左,膝上,「なんで俺が！」,町,,
draw,,辰己,怒,制服,左,膝上,,町,,
draw,,酉助,通常,制服,右,膝上,,町,,
send,,,,,,,反発する辰己に酉助は自分は会合、\n卯太郎は買い物があるためお前しか\nいないという。,町,,
draw,,辰己,怒,制服,左,膝上,,町,,
draw,,酉助,通常,制服,右,膝上,,町,,
send,,,,,,,尚も反発する辰己に,町,,
draw,,辰己,通常,制服,左,膝上,,町,,
send,,酉助,喜,制服,右,膝上,「頼んだよ」,町,,
draw,,辰己,通常,制服,左,膝上,,町,,
draw,,酉助,喜,制服,右,膝上,,町,,
send,,,,,,,と有無を言わさぬ笑顔で任せる\n酉助。,町,,
draw,,辰己,通常,制服,中央,膝上,,町,,
send,,,,,,,酉助の圧にこれ以上は逆らえないと\n悟った辰己は仕方なく沙夜を案内\nすることに。,町,,
draw,,辰己,通常,制服,中央,膝上,,町,,
send,,,,,,,不服そうにしながらもちゃんと\n案内をしてくれる辰己。,町,,
draw,,辰己,通常,制服,中央,膝上,,町,,
send,,,,,,,しかし案内が終わったところで辰己\nは沙夜に辛辣な言葉をかける。,町,,
send,,辰己,通常,制服,中央,膝上,「先に言っとく、ここは女がやって\nいけるようなところじゃねぇ。」,町,,
send,,辰己,怒,制服,中央,膝上,「俺はお前を仲間だなんて\n認めねぇ」,町,,
draw,,辰己,通常,私服,中央,膝上,,町,,
send,,,,,,,その言葉にショックを受けつつも\n失礼な辰己の態度に,町,,
send,,沙夜,怒,私服,中央,膝上,（絶対に見返してやるんだから！）,黒,,
send,,,,,,,と意気込む沙夜。,黒,,
send,,,,,,,2人の印象は最悪のまま、\n共同生活が幕を開ける。,黒,,
sceneEnd,,,,,,,,,,
